,nature,type,id,description,cwe_counts,cwe_id
88,MemberOf,category,1019,Validate Inputs,34,20
89,ParentOf,base,15,External Control of System or Configuration Setting,34,20
90,ParentOf,base,73,External Control of File Name or Path,34,20
91,ParentOf,variant,102,Struts: Duplicate Validation Forms,34,20
92,ParentOf,variant,103,Struts: Incomplete validate() Method Definition,34,20
93,ParentOf,variant,104,Struts: Form Bean Does Not Extend Validation Class,34,20
94,ParentOf,variant,105,Struts: Form Field Without Validator,34,20
95,ParentOf,variant,106,Struts: Plug-in Framework not in Use,34,20
96,ParentOf,variant,107,Struts: Unused Validation Form,34,20
97,ParentOf,variant,108,Struts: Unvalidated Action Form,34,20
98,ParentOf,variant,109,Struts: Validator Turned Off,34,20
99,ParentOf,variant,110,Struts: Validator Without Form Field,34,20
100,ParentOf,variant,111,Direct Use of Unsafe JNI,34,20
101,ParentOf,base,112,Missing XML Validation,34,20
102,ParentOf,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),34,20
103,ParentOf,class,114,Process Control,34,20
104,ParentOf,base,117,Improper Output Neutralization for Logs,34,20
105,ParentOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,34,20
106,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),34,20
107,ParentOf,base,134,Use of Externally-Controlled Format String,34,20
108,ParentOf,base,170,Improper Null Termination,34,20
109,ParentOf,base,190,Integer Overflow or Wraparound,34,20
110,ParentOf,base,466,Return of Pointer Value Outside of Expected Range,34,20
111,ParentOf,base,470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),34,20
112,ParentOf,variant,785,Use of Path Manipulation Function without Maximum-sized Buffer,34,20
113,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,34,20
114,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,34,20
115,MemberOf,category,738,CERT C Secure Coding Standard (2008) Chapter 5 - Integers (INT),34,20
116,MemberOf,category,742,CERT C Secure Coding Standard (2008) Chapter 9 - Memory Management (MEM),34,20
117,MemberOf,category,746,CERT C Secure Coding Standard (2008) Chapter 13 - Error Handling (ERR),34,20
118,MemberOf,category,747,CERT C Secure Coding Standard (2008) Chapter 14 - Miscellaneous (MSC),34,20
119,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,34,20
120,MemberOf,category,872,CERT C++ Secure Coding Section 04 - Integers (INT),34,20
121,MemberOf,category,876,CERT C++ Secure Coding Section 08 - Memory Management (MEM),34,20
122,MemberOf,category,883,CERT C++ Secure Coding Section 49 - Miscellaneous (MSC),34,20
123,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,34,20
124,MemberOf,category,1005,7PK - Input Validation and Representation,34,20
125,MemberOf,category,1163,SEI CERT C Coding Standard - Guidelines 09. Input Output (FIO),34,20
126,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,34,20
127,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,34,20
128,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,34,20
129,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,34,20
130,MemberOf,category,1382,ICS Operations (& Maintenance): Emerging Energy Technologies,34,20
131,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,34,20
132,MemberOf,category,1406,Comprehensive Categorization: Improper Input Validation,34,20
133,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,34,20
134,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,34,20
135,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,34,20
136,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,34,20
137,Self,class,20,,34,20
138,ChildOf,class,732,Incorrect Permission Assignment for Critical Resource,2,1004
139,MemberOf,category,1349,OWASP Top Ten 2021 Category A05:2021 - Security Misconfiguration,2,1004
140,MemberOf,category,1396,Comprehensive Categorization: Access Control,2,1004
141,MemberOf,category,1437,OWASP Top Ten 2025 Category A02:2025 - Security Misconfiguration,2,1004
142,Self,variant,1004,,2,1004
143,ChildOf,class,668,Exposure of Resource to Wrong Sphere,59,200
144,ParentOf,base,201,Insertion of Sensitive Information Into Sent Data,59,200
145,ParentOf,base,203,Observable Discrepancy,59,200
146,ParentOf,base,209,Generation of Error Message Containing Sensitive Information,59,200
147,ParentOf,base,213,Exposure of Sensitive Information Due to Incompatible Policies,59,200
148,ParentOf,base,215,Insertion of Sensitive Information Into Debugging Code,59,200
149,ParentOf,base,359,Exposure of Private Personal Information to an Unauthorized Actor,59,200
150,ParentOf,base,497,Exposure of Sensitive System Information to an Unauthorized Control Sphere,59,200
151,ParentOf,base,538,Insertion of Sensitive Information into Externally-Accessible File or Directory,59,200
152,ParentOf,base,1273,Device Unlock Credential Sharing,59,200
153,ParentOf,base,1295,Debug Messages Revealing Unnecessary Information,59,200
154,ParentOf,base,1431,Driving Intermediate Cryptographic State/Results to Hardware Module Outputs,59,200
155,CanFollow,variant,498,Cloneable Class Containing Sensitive Information,59,200
156,CanFollow,variant,499,Serializable Class Containing Sensitive Data,59,200
157,CanFollow,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,59,200
158,MemberOf,view,1003,Weaknesses for Simplified Mapping of Published Vulnerabilities,59,200
159,ParentOf,base,203,Observable Discrepancy,59,200
160,ParentOf,base,209,Generation of Error Message Containing Sensitive Information,59,200
161,ParentOf,base,532,Insertion of Sensitive Information into Log File,59,200
162,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,59,200
163,MemberOf,category,717,OWASP Top Ten 2007 Category A6 - Information Leakage and Improper Error Handling,59,200
164,MemberOf,category,963,SFP Secondary Cluster: Exposed Data,59,200
165,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,59,200
166,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,59,200
167,MemberOf,category,1345,OWASP Top Ten 2021 Category A01:2021 - Broken Access Control,59,200
168,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,59,200
169,MemberOf,category,1417,Comprehensive Categorization: Sensitive Information Exposure,59,200
170,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,59,200
171,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,59,200
172,MemberOf,category,1436,OWASP Top Ten 2025 Category A01:2025 - Broken Access Control,59,200
173,Self,class,200,,59,200
174,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,88,209
175,ChildOf,class,755,Improper Handling of Exceptional Conditions,88,209
176,ParentOf,base,210,Self-generated Error Message Containing Sensitive Information,88,209
177,ParentOf,base,211,Externally-Generated Error Message Containing Sensitive Information,88,209
178,ParentOf,variant,550,Server-generated Error Message Containing Sensitive Information,88,209
179,PeerOf,base,1295,Debug Messages Revealing Unnecessary Information,88,209
180,CanFollow,variant,600,Uncaught Exception in Servlet,88,209
181,CanFollow,base,756,Missing Custom Error Page,88,209
182,MemberOf,category,199,Information Management Errors,88,209
183,MemberOf,category,389,"Error Conditions, Return Values, Status Codes",88,209
184,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,88,209
185,MemberOf,category,1015,Limit Access,88,209
186,MemberOf,category,717,OWASP Top Ten 2007 Category A6 - Information Leakage and Improper Error Handling,88,209
187,MemberOf,category,728,OWASP Top Ten 2004 Category A7 - Improper Error Handling,88,209
188,MemberOf,category,731,OWASP Top Ten 2004 Category A10 - Insecure Configuration Management,88,209
189,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,88,209
190,MemberOf,category,801,2010 Top 25 - Insecure Interaction Between Components,88,209
191,MemberOf,category,815,OWASP Top Ten 2010 Category A6 - Security Misconfiguration,88,209
192,MemberOf,category,851,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 8 - Exceptional Behavior (ERR),88,209
193,MemberOf,category,867,2011 Top 25 - Weaknesses On the Cusp,88,209
194,MemberOf,category,880,CERT C++ Secure Coding Section 12 - Exceptions and Error Handling (ERR),88,209
195,MemberOf,view,884,CWE Cross-section,88,209
196,MemberOf,category,933,OWASP Top Ten 2013 Category A5 - Security Misconfiguration,88,209
197,MemberOf,category,963,SFP Secondary Cluster: Exposed Data,88,209
198,MemberOf,category,1032,OWASP Top Ten 2017 Category A6 - Security Misconfiguration,88,209
199,MemberOf,category,1348,OWASP Top Ten 2021 Category A04:2021 - Insecure Design,88,209
200,MemberOf,category,1417,Comprehensive Categorization: Sensitive Information Exposure,88,209
201,MemberOf,category,1445,OWASP Top Ten 2025 Category A10:2025 - Mishandling of Exceptional Conditions,88,209
202,Self,base,209,,88,209
203,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,88,497
204,ParentOf,base,214,Invocation of Process Using Visible Sensitive Information,88,497
205,ParentOf,variant,548,Exposure of Information Through Directory Listing,88,497
206,PeerOf,base,1431,Driving Intermediate Cryptographic State/Results to Hardware Module Outputs,88,497
207,MemberOf,category,199,Information Management Errors,88,497
208,MemberOf,category,485,7PK - Encapsulation,88,497
209,MemberOf,category,851,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 8 - Exceptional Behavior (ERR),88,497
210,MemberOf,category,880,CERT C++ Secure Coding Section 12 - Exceptions and Error Handling (ERR),88,497
211,MemberOf,category,963,SFP Secondary Cluster: Exposed Data,88,497
212,MemberOf,category,1345,OWASP Top Ten 2021 Category A01:2021 - Broken Access Control,88,497
213,MemberOf,category,1417,Comprehensive Categorization: Sensitive Information Exposure,88,497
214,MemberOf,category,1436,OWASP Top Ten 2025 Category A01:2025 - Broken Access Control,88,497
215,Self,base,497,,88,497
216,ChildOf,class,610,Externally Controlled Reference to a Resource in Another Sphere,14,601
217,MemberOf,category,19,Data Processing Errors,14,601
218,ChildOf,class,610,Externally Controlled Reference to a Resource in Another Sphere,14,601
219,MemberOf,category,1019,Validate Inputs,14,601
220,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,14,601
221,MemberOf,category,801,2010 Top 25 - Insecure Interaction Between Components,14,601
222,MemberOf,category,819,OWASP Top Ten 2010 Category A10 - Unvalidated Redirects and Forwards,14,601
223,MemberOf,category,864,2011 Top 25 - Insecure Interaction Between Components,14,601
224,MemberOf,view,884,CWE Cross-section,14,601
225,MemberOf,category,938,OWASP Top Ten 2013 Category A10 - Unvalidated Redirects and Forwards,14,601
226,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,14,601
227,MemberOf,category,1345,OWASP Top Ten 2021 Category A01:2021 - Broken Access Control,14,601
228,MemberOf,category,1382,ICS Operations (& Maintenance): Emerging Energy Technologies,14,601
229,MemberOf,category,1396,Comprehensive Categorization: Access Control,14,601
230,MemberOf,category,1436,OWASP Top Ten 2025 Category A01:2025 - Broken Access Control,14,601
231,Self,base,601,,14,601
232,ChildOf,base,319,Cleartext Transmission of Sensitive Information,2,614
233,MemberOf,category,966,SFP Secondary Cluster: Other Exposures,2,614
234,MemberOf,category,1349,OWASP Top Ten 2021 Category A05:2021 - Security Misconfiguration,2,614
235,MemberOf,category,1402,Comprehensive Categorization: Encryption,2,614
236,MemberOf,category,1437,OWASP Top Ten 2025 Category A02:2025 - Security Misconfiguration,2,614
237,Self,variant,614,,2,614
238,ChildOf,pillar,707,Improper Neutralization,9,74
239,ParentOf,class,75,Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),9,74
240,ParentOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),9,74
241,ParentOf,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),9,74
242,ParentOf,base,91,XML Injection (aka Blind XPath Injection),9,74
243,ParentOf,base,93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),9,74
244,ParentOf,base,94,Improper Control of Generation of Code ('Code Injection'),9,74
245,ParentOf,class,99,Improper Control of Resource Identifiers ('Resource Injection'),9,74
246,ParentOf,class,943,Improper Neutralization of Special Elements in Data Query Logic,9,74
247,ParentOf,base,1236,Improper Neutralization of Formula Elements in a CSV File,9,74
248,CanFollow,class,20,Improper Input Validation,9,74
249,CanFollow,class,116,Improper Encoding or Escaping of Output,9,74
250,MemberOf,view,1003,Weaknesses for Simplified Mapping of Published Vulnerabilities,9,74
251,ParentOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),9,74
252,ParentOf,base,78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),9,74
253,ParentOf,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),9,74
254,ParentOf,base,88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),9,74
255,ParentOf,base,89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),9,74
256,ParentOf,base,91,XML Injection (aka Blind XPath Injection),9,74
257,ParentOf,base,94,Improper Control of Generation of Code ('Code Injection'),9,74
258,ParentOf,base,917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),9,74
259,ParentOf,base,1236,Improper Neutralization of Formula Elements in a CSV File,9,74
260,MemberOf,category,1019,Validate Inputs,9,74
261,MemberOf,category,727,OWASP Top Ten 2004 Category A6 - Injection Flaws,9,74
262,MemberOf,category,929,OWASP Top Ten 2013 Category A1 - Injection,9,74
263,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,9,74
264,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,9,74
265,MemberOf,category,1409,Comprehensive Categorization: Injection,9,74
266,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,9,74
267,Self,class,74,,9,74
268,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),300,78
269,CanFollow,base,184,Incomplete List of Disallowed Inputs,300,78
270,MemberOf,category,137,Data Neutralization Issues,300,78
271,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),300,78
272,MemberOf,category,1019,Validate Inputs,300,78
273,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),300,78
274,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),300,78
275,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,300,78
276,MemberOf,category,714,OWASP Top Ten 2007 Category A3 - Malicious File Execution,300,78
277,MemberOf,category,727,OWASP Top Ten 2004 Category A6 - Injection Flaws,300,78
278,MemberOf,category,741,CERT C Secure Coding Standard (2008) Chapter 8 - Characters and Strings (STR),300,78
279,MemberOf,category,744,CERT C Secure Coding Standard (2008) Chapter 11 - Environment (ENV),300,78
280,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,300,78
281,MemberOf,category,801,2010 Top 25 - Insecure Interaction Between Components,300,78
282,MemberOf,category,810,OWASP Top Ten 2010 Category A1 - Injection,300,78
283,MemberOf,category,845,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 2 - Input Validation and Data Sanitization (IDS),300,78
284,MemberOf,category,864,2011 Top 25 - Insecure Interaction Between Components,300,78
285,MemberOf,category,875,CERT C++ Secure Coding Section 07 - Characters and Strings (STR),300,78
286,MemberOf,category,878,CERT C++ Secure Coding Section 10 - Environment (ENV),300,78
287,MemberOf,view,884,CWE Cross-section,300,78
288,MemberOf,category,929,OWASP Top Ten 2013 Category A1 - Injection,300,78
289,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,300,78
290,MemberOf,category,1027,OWASP Top Ten 2017 Category A1 - Injection,300,78
291,MemberOf,category,1131,CISQ Quality Measures (2016) - Security,300,78
292,MemberOf,category,1134,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 00. Input Validation and Data Sanitization (IDS),300,78
293,MemberOf,category,1165,SEI CERT C Coding Standard - Guidelines 10. Environment (ENV),300,78
294,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,300,78
295,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,300,78
296,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,300,78
297,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,300,78
298,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,300,78
299,MemberOf,category,1409,Comprehensive Categorization: Injection,300,78
300,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,300,78
301,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,300,78
302,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,300,78
303,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,300,78
304,MemberOf,category,1447,General Software Weaknesses that Appear in Products that Use or Support AI/ML Technology,300,78
305,Self,base,78,,300,78
306,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),300,88
307,MemberOf,category,137,Data Neutralization Issues,300,88
308,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),300,88
309,MemberOf,category,1019,Validate Inputs,300,88
310,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),300,88
311,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),300,88
312,MemberOf,category,741,CERT C Secure Coding Standard (2008) Chapter 8 - Characters and Strings (STR),300,88
313,MemberOf,category,744,CERT C Secure Coding Standard (2008) Chapter 11 - Environment (ENV),300,88
314,MemberOf,category,810,OWASP Top Ten 2010 Category A1 - Injection,300,88
315,MemberOf,category,875,CERT C++ Secure Coding Section 07 - Characters and Strings (STR),300,88
316,MemberOf,category,878,CERT C++ Secure Coding Section 10 - Environment (ENV),300,88
317,MemberOf,view,884,CWE Cross-section,300,88
318,MemberOf,category,929,OWASP Top Ten 2013 Category A1 - Injection,300,88
319,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,300,88
320,MemberOf,category,1027,OWASP Top Ten 2017 Category A1 - Injection,300,88
321,MemberOf,category,1165,SEI CERT C Coding Standard - Guidelines 10. Environment (ENV),300,88
322,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,300,88
323,MemberOf,category,1409,Comprehensive Categorization: Injection,300,88
324,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,300,88
325,Self,base,88,,300,88
326,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),132,94
327,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,132,94
328,ParentOf,variant,95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),132,94
329,ParentOf,base,96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),132,94
330,ParentOf,base,1336,Improper Neutralization of Special Elements Used in a Template Engine,132,94
331,CanFollow,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),132,94
332,MemberOf,category,137,Data Neutralization Issues,132,94
333,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),132,94
334,MemberOf,category,1019,Validate Inputs,132,94
335,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,132,94
336,MemberOf,category,752,2009 Top 25 - Risky Resource Management,132,94
337,MemberOf,view,884,CWE Cross-section,132,94
338,MemberOf,category,991,SFP Secondary Cluster: Tainted Input to Environment,132,94
339,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,132,94
340,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,132,94
341,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,132,94
342,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,132,94
343,MemberOf,category,1409,Comprehensive Categorization: Injection,132,94
344,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,132,94
345,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,132,94
346,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,132,94
347,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,132,94
348,MemberOf,category,1447,General Software Weaknesses that Appear in Products that Use or Support AI/ML Technology,132,94
349,Self,base,94,,132,94
350,ChildOf,base,94,Improper Control of Generation of Code ('Code Injection'),132,95
351,MemberOf,category,1019,Validate Inputs,132,95
352,MemberOf,category,714,OWASP Top Ten 2007 Category A3 - Malicious File Execution,132,95
