,nature,type,id,description,cwe_counts,cwe_id
12,CanFollow,base,825,Expired Pointer Dereference,1,787
13,MemberOf,category,1218,Memory Buffer Errors,1,787
14,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
15,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
16,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
17,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,787
18,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,787
19,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,787
20,MemberOf,category,1366,ICS Communications: Frail Security in Protocols,1,787
21,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,787
22,MemberOf,category,1399,Comprehensive Categorization: Memory Safety,1,787
23,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,787
24,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,787
4,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
5,ParentOf,variant,121,Stack-based Buffer Overflow,1,787
6,ParentOf,variant,122,Heap-based Buffer Overflow,1,787
7,ParentOf,base,123,Write-what-where Condition,1,787
8,ParentOf,base,124,Buffer Underwrite ('Buffer Underflow'),1,787
9,CanFollow,base,822,Untrusted Pointer Dereference,1,787
10,CanFollow,base,823,Use of Out-of-range Pointer Offset,1,787
11,CanFollow,base,824,Access of Uninitialized Pointer,1,787
12,CanFollow,base,825,Expired Pointer Dereference,1,787
13,MemberOf,category,1218,Memory Buffer Errors,1,787
14,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
15,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
16,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
17,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,787
18,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,787
19,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,787
20,MemberOf,category,1366,ICS Communications: Frail Security in Protocols,1,787
21,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,787
22,MemberOf,category,1399,Comprehensive Categorization: Memory Safety,1,787
23,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,787
24,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,787
4,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,1,502
5,PeerOf,base,915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,1,502
6,MemberOf,category,399,Resource Management Errors,1,502
7,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,1,502
8,MemberOf,category,1019,Validate Inputs,1,502
9,MemberOf,category,858,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 15 - Serialization (SER),1,502
10,MemberOf,view,884,CWE Cross-section,1,502
11,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,1,502
12,MemberOf,category,1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,1,502
13,MemberOf,category,1148,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 14. Serialization (SER),1,502
14,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,502
15,MemberOf,category,1308,CISQ Quality Measures - Security,1,502
16,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,502
17,MemberOf,view,1340,CISQ Data Protection Measures,1,502
18,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,502
19,MemberOf,category,1354,OWASP Top Ten 2021 Category A08:2021 - Software and Data Integrity Failures,1,502
20,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,502
21,MemberOf,category,1415,Comprehensive Categorization: Resource Control,1,502
22,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,502
23,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,502
4,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,6,502
5,PeerOf,base,915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,6,502
6,MemberOf,category,399,Resource Management Errors,6,502
7,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,6,502
8,MemberOf,category,1019,Validate Inputs,6,502
9,MemberOf,category,858,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 15 - Serialization (SER),6,502
10,MemberOf,view,884,CWE Cross-section,6,502
11,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,6,502
12,MemberOf,category,1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,6,502
13,MemberOf,category,1148,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 14. Serialization (SER),6,502
14,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,6,502
15,MemberOf,category,1308,CISQ Quality Measures - Security,6,502
16,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,6,502
17,MemberOf,view,1340,CISQ Data Protection Measures,6,502
18,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,6,502
19,MemberOf,category,1354,OWASP Top Ten 2021 Category A08:2021 - Software and Data Integrity Failures,6,502
20,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,6,502
21,MemberOf,category,1415,Comprehensive Categorization: Resource Control,6,502
22,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,6,502
23,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,6,502
5,ChildOf,class,943,Improper Neutralization of Special Elements in Data Query Logic,2,89
6,ParentOf,variant,564,SQL Injection: Hibernate,2,89
7,CanFollow,variant,456,Missing Initialization of a Variable,2,89
8,MemberOf,category,137,Data Neutralization Issues,2,89
9,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),2,89
10,MemberOf,category,1019,Validate Inputs,2,89
11,ParentOf,variant,564,SQL Injection: Hibernate,2,89
12,ParentOf,variant,564,SQL Injection: Hibernate,2,89
13,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,2,89
14,MemberOf,category,713,OWASP Top Ten 2007 Category A2 - Injection Flaws,2,89
15,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,2,89
16,MemberOf,category,727,OWASP Top Ten 2004 Category A6 - Injection Flaws,2,89
17,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,2,89
18,MemberOf,category,801,2010 Top 25 - Insecure Interaction Between Components,2,89
19,MemberOf,category,810,OWASP Top Ten 2010 Category A1 - Injection,2,89
20,MemberOf,category,864,2011 Top 25 - Insecure Interaction Between Components,2,89
21,MemberOf,view,884,CWE Cross-section,2,89
22,MemberOf,category,929,OWASP Top Ten 2013 Category A1 - Injection,2,89
23,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,2,89
24,MemberOf,category,1005,7PK - Input Validation and Representation,2,89
25,MemberOf,category,1027,OWASP Top Ten 2017 Category A1 - Injection,2,89
26,MemberOf,category,1131,CISQ Quality Measures (2016) - Security,2,89
27,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,2,89
28,MemberOf,category,1308,CISQ Quality Measures - Security,2,89
29,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,2,89
30,MemberOf,view,1340,CISQ Data Protection Measures,2,89
31,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,2,89
32,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,2,89
33,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,2,89
34,MemberOf,category,1409,Comprehensive Categorization: Injection,2,89
35,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,2,89
36,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,2,89
5,ChildOf,class,943,Improper Neutralization of Special Elements in Data Query Logic,2,89
6,ParentOf,variant,564,SQL Injection: Hibernate,2,89
7,CanFollow,variant,456,Missing Initialization of a Variable,2,89
8,MemberOf,category,137,Data Neutralization Issues,2,89
9,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),2,89
10,MemberOf,category,1019,Validate Inputs,2,89
11,ParentOf,variant,564,SQL Injection: Hibernate,2,89
12,ParentOf,variant,564,SQL Injection: Hibernate,2,89
13,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,2,89
14,MemberOf,category,713,OWASP Top Ten 2007 Category A2 - Injection Flaws,2,89
15,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,2,89
16,MemberOf,category,727,OWASP Top Ten 2004 Category A6 - Injection Flaws,2,89
17,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,2,89
18,MemberOf,category,801,2010 Top 25 - Insecure Interaction Between Components,2,89
19,MemberOf,category,810,OWASP Top Ten 2010 Category A1 - Injection,2,89
20,MemberOf,category,864,2011 Top 25 - Insecure Interaction Between Components,2,89
21,MemberOf,view,884,CWE Cross-section,2,89
22,MemberOf,category,929,OWASP Top Ten 2013 Category A1 - Injection,2,89
23,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,2,89
24,MemberOf,category,1005,7PK - Input Validation and Representation,2,89
25,MemberOf,category,1027,OWASP Top Ten 2017 Category A1 - Injection,2,89
26,MemberOf,category,1131,CISQ Quality Measures (2016) - Security,2,89
27,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,2,89
28,MemberOf,category,1308,CISQ Quality Measures - Security,2,89
29,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,2,89
30,MemberOf,view,1340,CISQ Data Protection Measures,2,89
31,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,2,89
32,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,2,89
33,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,2,89
34,MemberOf,category,1409,Comprehensive Categorization: Injection,2,89
35,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,2,89
36,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,2,89
4,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,125
5,ParentOf,variant,126,Buffer Over-read,1,125
6,ParentOf,variant,127,Buffer Under-read,1,125
7,CanFollow,base,822,Untrusted Pointer Dereference,1,125
8,CanFollow,base,823,Use of Out-of-range Pointer Offset,1,125
9,CanFollow,base,824,Access of Uninitialized Pointer,1,125
10,CanFollow,base,825,Expired Pointer Dereference,1,125
11,MemberOf,category,1218,Memory Buffer Errors,1,125
12,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,125
13,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,125
14,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,125
15,MemberOf,category,970,SFP Secondary Cluster: Faulty Buffer Access,1,125
16,MemberOf,category,1157,SEI CERT C Coding Standard - Guidelines 03. Expressions (EXP),1,125
17,MemberOf,category,1160,SEI CERT C Coding Standard - Guidelines 06. Arrays (ARR),1,125
18,MemberOf,category,1161,SEI CERT C Coding Standard - Guidelines 07. Characters and Strings (STR),1,125
19,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,125
20,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,125
21,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,125
22,MemberOf,category,1366,ICS Communications: Frail Security in Protocols,1,125
23,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,125
24,MemberOf,category,1399,Comprehensive Categorization: Memory Safety,1,125
25,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,125
26,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,125
4,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,8,502
5,PeerOf,base,915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,8,502
6,MemberOf,category,399,Resource Management Errors,8,502
7,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,8,502
8,MemberOf,category,1019,Validate Inputs,8,502
9,MemberOf,category,858,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 15 - Serialization (SER),8,502
10,MemberOf,view,884,CWE Cross-section,8,502
11,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,8,502
12,MemberOf,category,1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,8,502
13,MemberOf,category,1148,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 14. Serialization (SER),8,502
14,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,8,502
15,MemberOf,category,1308,CISQ Quality Measures - Security,8,502
16,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,8,502
17,MemberOf,view,1340,CISQ Data Protection Measures,8,502
18,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,8,502
19,MemberOf,category,1354,OWASP Top Ten 2021 Category A08:2021 - Software and Data Integrity Failures,8,502
20,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,8,502
21,MemberOf,category,1415,Comprehensive Categorization: Resource Control,8,502
22,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,8,502
23,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,8,502
3,ChildOf,pillar,707,Improper Neutralization,8,20
4,ParentOf,base,179,Incorrect Behavior Order: Early Validation,8,20
5,ParentOf,variant,622,Improper Validation of Function Hook Arguments,8,20
6,ParentOf,base,1173,Improper Use of Validation Framework,8,20
7,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,8,20
8,ParentOf,base,1285,"Improper Validation of Specified Index, Position, or Offset in Input",8,20
9,ParentOf,base,1286,Improper Validation of Syntactic Correctness of Input,8,20
10,ParentOf,base,1287,Improper Validation of Specified Type of Input,8,20
11,ParentOf,base,1288,Improper Validation of Consistency within Input,8,20
12,ParentOf,base,1289,Improper Validation of Unsafe Equivalence in Input,8,20
13,PeerOf,class,345,Insufficient Verification of Data Authenticity,8,20
14,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),8,20
15,CanPrecede,base,41,Improper Resolution of Path Equivalence,8,20
16,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),8,20
17,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,8,20
18,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,8,20
19,MemberOf,view,1003,Weaknesses for Simplified Mapping of Published Vulnerabilities,8,20
20,ParentOf,variant,129,Improper Validation of Array Index,8,20
21,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,8,20
22,MemberOf,category,1019,Validate Inputs,8,20
23,ParentOf,base,15,External Control of System or Configuration Setting,8,20
24,ParentOf,base,73,External Control of File Name or Path,8,20
25,ParentOf,variant,102,Struts: Duplicate Validation Forms,8,20
26,ParentOf,variant,103,Struts: Incomplete validate() Method Definition,8,20
27,ParentOf,variant,104,Struts: Form Bean Does Not Extend Validation Class,8,20
28,ParentOf,variant,105,Struts: Form Field Without Validator,8,20
29,ParentOf,variant,106,Struts: Plug-in Framework not in Use,8,20
30,ParentOf,variant,107,Struts: Unused Validation Form,8,20
31,ParentOf,variant,108,Struts: Unvalidated Action Form,8,20
32,ParentOf,variant,109,Struts: Validator Turned Off,8,20
33,ParentOf,variant,110,Struts: Validator Without Form Field,8,20
34,ParentOf,variant,111,Direct Use of Unsafe JNI,8,20
35,ParentOf,base,112,Missing XML Validation,8,20
36,ParentOf,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),8,20
37,ParentOf,class,114,Process Control,8,20
38,ParentOf,base,117,Improper Output Neutralization for Logs,8,20
39,ParentOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,8,20
40,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),8,20
41,ParentOf,base,134,Use of Externally-Controlled Format String,8,20
42,ParentOf,base,170,Improper Null Termination,8,20
43,ParentOf,base,190,Integer Overflow or Wraparound,8,20
44,ParentOf,base,466,Return of Pointer Value Outside of Expected Range,8,20
45,ParentOf,base,470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),8,20
46,ParentOf,variant,785,Use of Path Manipulation Function without Maximum-sized Buffer,8,20
47,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,8,20
48,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,8,20
49,MemberOf,category,738,CERT C Secure Coding Standard (2008) Chapter 5 - Integers (INT),8,20
50,MemberOf,category,742,CERT C Secure Coding Standard (2008) Chapter 9 - Memory Management (MEM),8,20
51,MemberOf,category,746,CERT C Secure Coding Standard (2008) Chapter 13 - Error Handling (ERR),8,20
52,MemberOf,category,747,CERT C Secure Coding Standard (2008) Chapter 14 - Miscellaneous (MSC),8,20
53,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,8,20
54,MemberOf,category,872,CERT C++ Secure Coding Section 04 - Integers (INT),8,20
55,MemberOf,category,876,CERT C++ Secure Coding Section 08 - Memory Management (MEM),8,20
56,MemberOf,category,883,CERT C++ Secure Coding Section 49 - Miscellaneous (MSC),8,20
57,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,8,20
58,MemberOf,category,1005,7PK - Input Validation and Representation,8,20
59,MemberOf,category,1163,SEI CERT C Coding Standard - Guidelines 09. Input Output (FIO),8,20
60,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,8,20
61,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,8,20
62,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,8,20
63,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,8,20
64,MemberOf,category,1382,ICS Operations (& Maintenance): Emerging Energy Technologies,8,20
65,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,8,20
66,MemberOf,category,1406,Comprehensive Categorization: Improper Input Validation,8,20
67,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,8,20
68,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,8,20
4,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
5,ParentOf,variant,121,Stack-based Buffer Overflow,1,787
6,ParentOf,variant,122,Heap-based Buffer Overflow,1,787
7,ParentOf,base,123,Write-what-where Condition,1,787
8,ParentOf,base,124,Buffer Underwrite ('Buffer Underflow'),1,787
9,CanFollow,base,822,Untrusted Pointer Dereference,1,787
10,CanFollow,base,823,Use of Out-of-range Pointer Offset,1,787
11,CanFollow,base,824,Access of Uninitialized Pointer,1,787
12,CanFollow,base,825,Expired Pointer Dereference,1,787
13,MemberOf,category,1218,Memory Buffer Errors,1,787
14,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
15,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
16,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
17,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,787
18,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,787
19,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,787
20,MemberOf,category,1366,ICS Communications: Frail Security in Protocols,1,787
21,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,787
22,MemberOf,category,1399,Comprehensive Categorization: Memory Safety,1,787
23,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,787
24,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,787
4,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
5,ParentOf,variant,121,Stack-based Buffer Overflow,1,787
6,ParentOf,variant,122,Heap-based Buffer Overflow,1,787
7,ParentOf,base,123,Write-what-where Condition,1,787
