repo,ecosystem_manager,action,status,detail
distance,none,none-needed,ok,no Python dependency manifest found in repo root
dl-translate,none,none-needed,ok,no Python dependency manifest found in repo root
dora,none,none-needed,ok,no Python dependency manifest found in repo root
dowel,none,none-needed,ok,no Python dependency manifest found in repo root
DrQA,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
dtaidistance,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
einops,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
emcee,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
eurybia,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
evidently,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
evostra,none,none-needed,ok,no Python dependency manifest found in repo root
face_recognition,pyproject-other,poetry init + poetry lock,fixed,generated; bumped python floor to 3.12 for scipy
fastapi,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
feast,uv,uv lock,fixed,"uv.lock generated and pushed to anonymized-for-blind-review/feast (was gitignored upstream, force-added)"
featureforge,none,branch fix + dispatch,fixed,"was stuck on stale develop HEAD with no workflow file there; retried on master, succeeded. Dependabot already ok"
FEDOT,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
frouros,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
gan,none,none-needed,ok,no Python dependency manifest found in repo root
garage,none,none-needed,ok,no Python dependency manifest found in repo root
gensim,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
ggpy,none,none-needed,ok,no Python dependency manifest found in repo root
gradio,uv,uv lock,fixed,uv.lock generated and pushed to anonymized-for-blind-review/gradio
GreatCircle,none,uv init + import-scan,ok,"single stdlib-only script, no external imports found, nothing for Dependabot to track"
gym,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
Gymnasium,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
haystack,uv,uv lock,fixed,"uv.lock generated and pushed to anonymized-for-blind-review/haystack (was gitignored upstream, force-added)"
hdbscan,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
hebel,none,uv init + import-scan,failed,"skdata==0.0.4 build fails (doesn't declare numpy as a build dependency, legacy package)"
hyperopt-sklearn,requirements.txt,uv pip compile,fixed,requirements.lock.txt generated (via uv pip compile requirements.txt) and pushed to anonymized-for-blind-review/hyperopt-sklearn
igel,poetry,security_and_analysis toggle,fixed,"poetry.lock already present; Dependabot Updates workflow had never been provisioned by GitHub -- forced via disable/re-enable toggle of dependabot_security_updates, workflow appeared and a run succeeded"
imbalanced-ensemble,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
imutils,none,none-needed,ok,no Python dependency manifest found in repo root
IoT-Owl,none,uv init + import-scan,failed,"tensorflow==2.21.0 pin from import scan has no resolvable distribution for the environment; needs a manually curated version range, not attempted further"
ipychart,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
jax,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
jellyfish,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
jieba,none,none-needed,ok,no Python dependency manifest found in repo root
joliGEN,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
jProcessing,none,none-needed,ok,no Python dependency manifest found in repo root
karateclub,none,none-needed,ok,no Python dependency manifest found in repo root
keras-tuner,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
keras,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
lab,none,uv init + import-scan,failed,import scan picked up the repo own package name (deepmind-lab) as if external (self-reference false positive); not a real installable package
lambdo,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
langflow,uv,none-needed,ok,uv.lock already present
langfuse,none,n/a,ok,"pure TypeScript/JS pnpm monorepo, no Python packaging anywhere -- Dependabot pip ecosystem not applicable"
Lasagne,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
learnergy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
lifelines,none,none-needed,ok,no Python dependency manifest found in repo root
LightGBM,none,none-needed,ok,no Python dependency manifest found in repo root
lightly,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
lightning-bolts,requirements.txt,uv pip compile,fixed,requirements.lock.txt generated (via uv pip compile requirements.txt) and pushed to anonymized-for-blind-review/lightning-bolts
lightwood,poetry,none-needed,ok,poetry.lock already present
lime,none,none-needed,ok,no Python dependency manifest found in repo root
litellm,uv,none-needed,ok,uv.lock already present
littleballoffur,none,none-needed,ok,no Python dependency manifest found in repo root
loso,none,uv init + import-scan,fixed,"pyproject.toml+uv.lock generated (redis, pyyaml, lxml from setup.py), pushed; Dependency Graph succeeded"
lucent,none,dispatch,fixed,"same branch fix as featureforge, on master"
machine-learning,none,uv init + import-scan,failed,mysqlclient build requires system MySQL client headers/pkg-config not present in this environment
mars,pyproject-other,uv init + import-scan,failed,"python-version-marker split conflict during uv add; not resolved further, build-only pyproject.toml left as-is"
matplotlib,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
maze,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
Metaworld,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
metric-learn,none,none-needed,ok,no Python dependency manifest found in repo root
mindsdb,none,none-needed,ok,no Python dependency manifest found in repo root
minigrad,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
miraiml,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
mist,none,uv init + import-scan,fixed,"pyproject.toml + uv.lock generated from imports (5 packages), pushed to anonymized-for-blind-review/mist"
mlens,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
mlflow,uv,none-needed,ok,uv.lock already present
mljar-supervised,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
mlx,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
mlxtend,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
modAL,none,none-needed,ok,no Python dependency manifest found in repo root
nalp,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
neofuzz,poetry,poetry lock,fixed,poetry.lock generated and pushed to anonymized-for-blind-review/neofuzz
neural-style-pt,none,n/a,ok,no requirements.txt/setup.py/pyproject.toml anywhere; Lua/C++ project
Neural,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
neuraltalk,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
neuraltalk2,none,n/a,ok,no requirements.txt/setup.py/pyproject.toml anywhere; Lua/C++ project
Neuraxle,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
neurolab,none,none-needed,ok,no Python dependency manifest found in repo root
NeuroNER,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
neuropredict,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
nilearn,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
nn_builder,requirements.txt,poetry init + poetry lock,fixed,"generated, pushed"
notebook,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
numpy-ml,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
numpy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
nupic.studio,none,uv init + import-scan,failed,"setup.py calls Python-2-only execfile() before reaching setup(), automated extraction crashes"
nut,none,none-needed,ok,no Python dependency manifest found in repo root
open-metric-learning,none,none-needed,ok,no Python dependency manifest found in repo root
open-webui,none,codeql default-setup fix,fixed,"CodeQL failing on GitHub default-setup conflict; fixed via disable default-setup + retry, succeeded"
openpose,none,n/a,ok,no requirements.txt/setup.py/pyproject.toml anywhere; C++ project
opfython,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
optuna,uv,uv lock,fixed,"uv.lock generated and pushed to anonymized-for-blind-review/optuna (was gitignored upstream, force-added)"
opytimizer,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pandas,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
paramonte,none,branch-mismatch fix,fixed,"entire .github was missing on the actual default branch (main); CI (codeql.yml/semgrep.yml/dependabot.yml) had only ever been set up on master. Copied current templates onto main, pushed, triggered"
Parris,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pastalog,none,uv init + import-scan,fixed,"setup.py lives in a subdir but dependabot.yml targets root; generated pyproject.toml/uv.lock (requests) at repo root, pushed"
pattern,none,uv init + import-scan,failed,"setup.py self-imports (from pattern import __version__) before setup(); manual extraction attempted, failed on mysqlclient system deps"
PCV,none,none-needed,ok,no Python dependency manifest found in repo root
pebl,none,uv init + import-scan,failed,"setup.py contains Python-2-only syntax (except X, e:), raises SyntaxError just parsing it"
Petrel,none,none-needed,ok,no Python dependency manifest found in repo root
pgmpy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pix2pix-keras,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pkuseg-python,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
polyglot,requirements.txt,poetry init + poetry lock,fixed,generated; dropped Python-2-only futures backport (no Python 3 release)
pomegranate,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
prodmodel,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pybrain,none,none-needed,ok,no Python dependency manifest found in repo root
pybroker,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pycm,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pydantic,uv,none-needed,ok,uv.lock already present
pydexter,none,none-needed,ok,no Python dependency manifest found in repo root
Pyevolve,none,none-needed,ok,no Python dependency manifest found in repo root
pyhsmm,none,uv init + import-scan,failed,pybasicbayes>=0.1.3 fails to build under modern setuptools (__NUMPY_SETUP__ AttributeError)
pymc,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pynlpl,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pyod,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pyqtgraph,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pyss3,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
PyStanfordDependencies,none,none-needed,ok,no Python dependency manifest found in repo root
PySyft,uv,none-needed,ok,uv.lock already present
pytensor,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytesseract,none,none-needed,ok,no Python dependency manifest found in repo root
python-frog,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
python-neuron,none,uv init + import-scan,ok,"only 2 .py files, no external imports found beyond stdlib, nothing for Dependabot to track"
python-recsys,none,uv init + import-scan,failed,csc-pysparse is Python-2-only (print-statement syntax error in its own setup.py)
python-timbl,none,none-needed,ok,no Python dependency manifest found in repo root
python-ucto,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytorch_geometric_temporal,none,none-needed,ok,no Python dependency manifest found in repo root
pytorch_geometric,uv,uv lock,fixed,"uv.lock generated and pushed to anonymized-for-blind-review/pytorch_geometric (was gitignored upstream, force-added)"
pytorch-frame,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytorch-image-models,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytorch-lightning,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytorch,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
PyTorchCV,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
quepy,none,branch-mismatch fix,fixed,same branch fix as dash: CI restored on actual default branch develop; also refo dependency fails to build (distutils.util.run_2to3 removed) so Dependabot still needs manual attention there
rasa,poetry,dispatch,fixed,already had poetry.lock; needed a push to get a fresh in-window Dependency Graph run
ray,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
recommenders,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
rep,requirements.txt,poetry init + poetry lock,fixed,"generated, pushed; Dependency Graph succeeded"
retinaface,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
retro,none,none-needed,ok,no Python dependency manifest found in repo root
rexmex,none,poetry init + poetry lock,fixed,generated from setup.py install_requires (moved aside old stub pyproject.toml); Dependency Graph succeeded
rgf,none,uv init + import-scan,fixed,"nested python-package/setup.py deps extracted via sandboxed exec, uv.lock at repo root; Dependency Graph succeeded"
river,uv,none-needed,ok,uv.lock already present
rockpool,none,branch-mismatch fix,fixed,same branch fix as dash/paramonte: CI restored on actual default branch develop
rosetta,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-image,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-learn-intelex,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-learn,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-multiflow,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-opt,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-plot,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-survival,pyproject-other,uv lock,fixed,uv.lock generated and pushed to anonymized-for-blind-review/scikit-survival (build first needed the eigen git submodule initialized locally to resolve the C++ extension's build metadata)
seaborn,uv,uv lock,fixed,"uv.lock generated and pushed to anonymized-for-blind-review/seaborn (was gitignored upstream, force-added)"
segmentation_models.pytorch,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
segmentation_models,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sentiment_classifier,none,none-needed,ok,no Python dependency manifest found in repo root
sentiment-analyzer,none,uv init + import-scan,failed,tensorflow version-marker split conflict during resolution; not resolved further
sequitur,none,none-needed,ok,no Python dependency manifest found in repo root
shapash,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
shapley,none,none-needed,ok,no Python dependency manifest found in repo root
shogun,requirements.txt,poetry init + poetry lock,fixed,used doc/cookbook/requirements.txt (only manifest available); Dependency Graph succeeded
simpleai,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sinabs,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
skbel,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sklearn-bayes,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
Sklearn-genetic-opt,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
skll,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
skorch,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sktime,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
snips-nlu,none,uv init + import-scan,failed,snips-nlu-parsers/snips-nlu-utils (Rust-backed) fail to build -- missing setuptools_rust as a declared build dependency upstream
snownlp,none,none-needed,ok,no Python dependency manifest found in repo root
somoclu,none,none-needed,ok,no Python dependency manifest found in repo root
SOMPY,none,none-needed,ok,no Python dependency manifest found in repo root
spaCy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
spammy,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sparklingpandas,none,none-needed,ok,no Python dependency manifest found in repo root
Spearmint,none,none-needed,ok,no Python dependency manifest found in repo root
stacked_generalization,none,none-needed,ok,no Python dependency manifest found in repo root
stanford-corenlp-python,none,uv init + import-scan,fixed,"pyproject.toml + uv.lock generated from a single import found (pexpect), pushed to anonymized-for-blind-review/stanford-corenlp-python"
statsmodels,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
stellargraph,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
streamlit,uv,none-needed,ok,uv.lock already present
suiron,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
superset,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sympy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
SynapseML,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
synthia,none,none-needed,ok,no Python dependency manifest found in repo root
tdb,none,none-needed,ok,no Python dependency manifest found in repo root
tensorflow,none,none-needed,ok,no Python dependency manifest found in repo root
tensorwatch,none,none-needed,ok,no Python dependency manifest found in repo root
tesseract,none,uv init + import-scan,fixed,"pyproject.toml + uv.lock generated from imports in its 2 helper .py scripts, pushed to anonymized-for-blind-review/tesseract"
textacy,pyproject-other,uv add,fixed,"uv.lock added to existing pyproject.toml, pushed; Dependency Graph succeeded"
tflearn,none,none-needed,ok,no Python dependency manifest found in repo root
topicwizard,poetry,poetry lock,failed,"dependency conflict in project's own pyproject.toml: dash-extensions (^1.0.4) requires dash>=3.0.0, but topic-wizard pins dash ^2.7.1 -- poetry lock cannot resolve; requires editing the fork's own dependency constraints, out of scope for a lockfile-only fix"
tpot,poetry,retrigger,fixed,"existing poetry.lock was failing on a transient GitHub-side Dependency Snapshot API error; retriggered by touching pyproject.toml, succeeded"
transformers,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
TResNet,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
typer,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
upgini,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
vigra,none,none-needed,ok,no Python dependency manifest found in repo root
vispy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
visualize_ML,none,none-needed,ok,no Python dependency manifest found in repo root
ViZDoom,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
xcessiv,requirements.txt,poetry init + poetry lock,fixed,"generated; narrowed requires-python to >=3.12,<3.13 for scipy"
xgboost,none,none-needed,ok,no Python dependency manifest found in repo root
xlearn,none,uv init + import-scan,fixed,"generated from nested python-package/setup.py (numpy, scipy); Dependency Graph succeeded"
yalign,none,branch-mismatch fix,fixed,workflows only triggered on push to master while default branch is develop; restored on develop directly
zipline,none,uv init + import-scan,failed,legacy bcolz==1.2.1 fails to build under modern Python/uv build isolation (ModuleNotFoundError: pkg_resources)
zpar,none,branch-mismatch fix,ok,same branch-mismatch fix as yalign; no Python manifest anywhere in repo (C++ project) so Dependabot stays n/a
